selected,Date,Type,No.,Payee,Category,Total,Approval Status,Action
,11/13/2024,Expense,,Amazon,Supplies - G&A,13.36,,
,11/13/2024,Expense,,Amazon,Supplies - G&A,51.33,,
,11/13/2024,Expense,,Amazon,Supplies - G&A,107,,
,11/13/2024,Expense,,Amazon,--Split--,104.8,,
,11/13/2024,Expense,,Amazon,Supplies - G&A,88.01,,
,11/13/2024,Expense,,Amazon,Supplies - G&A,29.08,,
,11/12/2024,Expense,,Amazon,--Split--,5.38,,
,11/12/2024,Expense,,Amazon,--Split--,144.63,,
,11/12/2024,Expense,,Amazon,--Split--,311.37,,
,11/11/2024,Expense,,Easyplant,--Split--,53.34,,
,11/11/2024,Expense,,Amazon,--Split--,10.54,,
,11/11/2024,Expense,,Amazon,--Split--,14.61,,
,11/11/2024,Expense,,Amazon,--Split--,80.12,,
,11/10/2024,Expense,,Amazon,--Split--,10.8,,
,11/10/2024,Expense,,Amazon,--Split--,69.68,,
,11/10/2024,Expense,,Amazon,--Split--,10.8,,
,11/10/2024,Expense,,Amazon,Supplies - G&A,58.1,,
,11/10/2024,Expense,,Amazon,Supplies - G&A,192.2,,
,11/10/2024,Expense,,Amazon,Supplies - G&A,22.63,,
,11/09/2024,Expense,,Amazon,Supplies - G&A,984.31,,
,11/09/2024,Expense,,Amazon,Supplies - G&A,240.93,,
,11/09/2024,Expense,,Amazon,Supplies - G&A,203.87,,
,11/09/2024,Expense,,Amazon,Supplies - G&A,46.31,,
,11/09/2024,Expense,,Amazon,Supplies - G&A,329.7,,
,11/09/2024,Expense,,Amazon,Supplies - G&A,81.75,,
,11/09/2024,Expense,,Home Depot,Supplies - G&A,663.72,,
,11/09/2024,Expense,,Home Depot,Supplies - G&A,376.53,,
,11/09/2024,Expense,,Amazon,Supplies - G&A,339.3,,
,11/09/2024,Expense,,Amazon,Supplies - G&A,237.04,,
,11/08/2024,Expense,,Amazon,Supplies - G&A,625.01,,
,11/08/2024,Expense,,Amazon,Supplies - G&A,375.05,,
,11/07/2024,Expense,,Amazon,Supplies - G&A,97.83,,
,11/07/2024,Expense,,Amazon,Supplies - G&A,430.96,,
,11/07/2024,Expense,,Amazon,Supplies - G&A,55.19,,
,11/06/2024,Expense,,Amazon,Supplies - G&A,86.49,,
,11/05/2024,Expense,,Amazon,Supplies - G&A,442.48,,
,11/04/2024,Expense,,Home Depot,Supplies - G&A,65.25,,
,11/04/2024,Expense,,Amazon,Supplies - G&A,167.58,,
,11/04/2024,Expense,,Amazon,Supplies - G&A,237.86,,
,11/04/2024,Expense,,Amazon,Supplies - G&A,1111.48,,
,11/04/2024,Expense,,Amazon,Supplies - G&A,8.75,,
,11/03/2024,Expense,,Amazon,--Split--,37.62,,
,11/01/2024,Expense,,Amazon,--Split--,308.11,,
,10/31/2024,Expense,,Amazon,--Split--,11.88,,
,10/30/2024,Expense,,Amazon,--Split--,82.16,,
,10/26/2024,Expense,,Amazon,--Split--,53.96,,
,10/25/2024,Expense,,Lucky,--Split--,20.59,,
,10/24/2024,Expense,,Amazon,--Split--,36,,
,10/24/2024,Expense,,Amazon,--Split--,32.32,,
,10/23/2024,Expense,,Lucky,--Split--,25.57,,
,10/23/2024,Expense,,Target,--Split--,65.78,,
,10/23/2024,Expense,,Amazon,--Split--,212.63,,
,10/22/2024,Expense,,Amazon,Supplies - G&A,5.94,,
,10/20/2024,Expense,,Amazon,--Split--,19.34,,
,10/18/2024,Expense,,Walmart,--Split--,135.65,,
,10/17/2024,Expense,,Amazon,Supplies - G&A,408.72,,
,10/17/2024,Expense,,Amazon,--Split--,21.61,,
,10/15/2024,Expense,,Amazon,--Split--,21.51,,
,10/12/2024,Expense,,Amazon,--Split--,28.72,,
,10/12/2024,Expense,,Amazon,--Split--,71.2,,
,10/11/2024,Expense,,Amazon,--Split--,10.77,,
,10/09/2024,Expense,,Amazon,--Split--,51.89,,
,10/09/2024,Expense,,Amazon,--Split--,37.16,,
,10/08/2024,Expense,,Amazon,Supplies - G&A,1390.57,,
,10/07/2024,Expense,,Amazon,Supplies - G&A,30.25,,
,10/07/2024,Expense,,Amazon,Supplies - G&A,45.4,,
,10/07/2024,Expense,,Amazon,Supplies - G&A,22.7,,
,10/05/2024,Expense,,Lowe's,--Split--,10.77,,
,10/04/2024,Expense,,Sam's Club,--Split--,139.86,,
,10/02/2024,Expense,,Eagle Eye Engraving,Supplies - G&A,237.88,,
,10/02/2024,Expense,,Amazon,--Split--,32.8,,
,09/30/2024,Expense,,Amazon,--Split--,77.27,,
,09/30/2024,Expense,,Amazon,Supplies - G&A,26.88,,
,09/28/2024,Expense,,Amazon,--Split--,29.72,,
,09/27/2024,Expense,,Amazon,--Split--,86.49,,
,09/27/2024,Expense,,Amazon,--Split--,23.92,,
,09/27/2024,Expense,,Amazon,--Split--,77.84,,
,09/27/2024,Expense,,Amazon,--Split--,52.97,,
,09/27/2024,Expense,,Amazon,--Split--,153.66,,
,09/26/2024,Expense,,Amazon,--Split--,82.16,,
,09/26/2024,Expense,,Amazon,Supplies - G&A,47.58,,
,09/25/2024,Expense,,Target,--Split--,102.15,,
,09/23/2024,Expense,,Amazon,Supplies - G&A,21.61,,
,09/23/2024,Expense,,Amazon,Supplies - G&A,44.31,,
,09/19/2024,Expense,,Walmart,--Split--,103.79,,
,09/19/2024,Expense,,Amazon,Supplies - G&A,17.18,,
,09/18/2024,Expense,,Amazon,--Split--,38.94,,
,09/18/2024,Expense,,Amazon,--Split--,75.02,,
,09/18/2024,Expense,,Amazon,--Split--,97.27,,
,09/17/2024,Expense,,Amazon,--Split--,50.29,,
,09/16/2024,Expense,,Amazon,--Split--,210.24,,
,09/11/2024,Expense,,Lowe's,Supplies - G&A,97.3,,
,09/11/2024,Expense,,Amazon,--Split--,114.39,,
,09/10/2024,Expense,,Amazon,--Split--,18.99,,
,09/10/2024,Expense,,Amazon,--Split--,21.06,,
,09/01/2024,Expense,,Lululemon,Supplies - G&A,108.45,,
,08/29/2024,Expense,,Amazon,--Split--,37.62,,
,08/29/2024,Expense,,Amazon,--Split--,134.29,,
,08/29/2024,Expense,,Amazon,--Split--,173,,
,08/29/2024,Expense,,Amazon,--Split--,82.16,,
,08/26/2024,Expense,,Amazon,Supplies - G&A,38.91,,
,08/24/2024,Expense,,Amazon,--Split--,10.99,,
,08/22/2024,Expense,,Amazon,--Split--,113.08,,
,08/22/2024,Expense,,Amazon,--Split--,95.9,,
,08/22/2024,Expense,,Amazon,--Split--,6.04,,
,08/20/2024,Expense,,Amazon,Supplies - G&A,155.74,,
,08/15/2024,Expense,,Amazon,Supplies - G&A,64.84,,
,08/12/2024,Expense,,Amazon,--Split--,61.05,,
,08/12/2024,Expense,,Lucky,--Split--,31.49,,
,08/08/2024,Expense,,Amazon,--Split--,57.13,,
,08/08/2024,Expense,,Amazon,--Split--,10.79,,
,08/07/2024,Expense,,Amazon,--Split--,33.12,,
,08/07/2024,Expense,,Amazon,--Split--,138.58,,
,08/07/2024,Expense,,Amazon,--Split--,16.21,,
,08/06/2024,Expense,,Amazon,--Split--,82.16,,
,08/04/2024,Expense,,Staples,--Split--,28.1,,
,08/04/2024,Expense,,Amazon,--Split--,13.04,,
,08/03/2024,Expense,,,Supplies - G&A,63.97,,
,08/03/2024,Expense,,Amazon,Supplies - G&A,71.29,,
,07/27/2024,Expense,,Amazon,Supplies - G&A,25.94,,
,07/25/2024,Expense,,Amazon,--Split--,41.9,,
,07/25/2024,Expense,,Amazon,Supplies - G&A,42.45,,
,07/25/2024,Expense,,Amazon,Supplies - G&A,38.78,,
,07/24/2024,Expense,,Amazon,--Split--,73.46,,
,07/24/2024,Expense,,Amazon,--Split--,264.39,,
,07/19/2024,Expense,,Lululemon,Supplies - G&A,50,,
,07/18/2024,Expense,,Stems Florist,Supplies - G&A,49.85,,
,07/18/2024,Expense,,Amazon,--Split--,21.61,,
,07/18/2024,Expense,,Raley's Supermarkets,--Split--,19.98,,
,07/17/2024,Expense,,Stems Florist,--Split--,5.36,,
,07/17/2024,Expense,,Amazon,--Split--,25.26,,
,07/17/2024,Expense,,Amazon,--Split--,13.36,,
,07/17/2024,Expense,,Amazon,--Split--,45.52,,
,07/16/2024,Expense,,Target,--Split--,26.54,,
,07/12/2024,Expense,,Target,--Split--,14.06,,
,07/10/2024,Expense,,Lucky,--Split--,31.34,,
,07/10/2024,Expense,,Staples,--Split--,36.49,,
,07/10/2024,Expense,,Amazon,--Split--,92.25,,
,07/09/2024,Expense,,Amazon,--Split--,9.68,,
,07/03/2024,Expense,,Amazon,--Split--,191.94,,
,07/02/2024,Expense,,Home Depot,--Split--,9.14,,
,06/30/2024,Expense,,Apple,--Split--,2.99,,
,06/29/2024,Expense,,Lucky,--Split--,24.84,,
,06/29/2024,Expense,,Amazon,--Split--,32.44,,
,06/28/2024,Expense,,Amazon,--Split--,92.35,,
,06/27/2024,Credit Card Credit,,Wells Fargo Cash Back - Credit,Supplies - G&A,-39.42,,
,06/27/2024,Expense,,Amazon,--Split--,128.7,,
,06/27/2024,Expense,,Amazon,--Split--,10.8,,
,06/25/2024,Expense,,Amazon,Supplies - G&A,38.91,,
,06/19/2024,Expense,,Home Depot,--Split--,16.15,,
,06/19/2024,Expense,,Amazon,--Split--,22.9,,
,06/18/2024,Credit Card Credit,,Amazon,Supplies - G&A,-12.96,,
,06/18/2024,Expense,,Amazon,--Split--,9.63,,
,06/18/2024,Expense,,Amazon,--Split--,14.61,,
,06/13/2024,Expense,,Amazon,Supplies - G&A,52.38,,
,06/13/2024,Expense,,Amazon,Supplies - G&A,42.72,,
,06/13/2024,Expense,,Amazon,Supplies - G&A,12.96,,
,06/13/2024,Expense,,Lucky,--Split--,30.6,,
,06/11/2024,Expense,,Amazon,Supplies - G&A,14.43,,
,06/11/2024,Expense,,Walmart,--Split--,43.55,,
,06/05/2024,Expense,,Amazon,Supplies - G&A,184.01,,
,06/05/2024,Expense,,Amazon,Supplies - G&A,47.55,,
,06/04/2024,Expense,,Amazon,Supplies - G&A,47,,
,05/31/2024,Expense,,Staples,--Split--,8.12,,
,05/30/2024,Expense,,Amazon,Supplies - G&A,18.37,,
,05/29/2024,Expense,,Amazon,Supplies - G&A,14.71,,
,05/24/2024,Expense,,Amazon,Supplies - G&A,96.22,,
,05/24/2024,Expense,,Amazon,Supplies - G&A,47.56,,
,05/23/2024,Expense,,Amazon,Supplies - G&A,15.12,,
,05/23/2024,Expense,,Amazon,Supplies - G&A,101.64,,
,05/22/2024,Expense,,Amazon,Supplies - G&A,55.02,,
,05/22/2024,Expense,,Amazon,Supplies - G&A,21.85,,
,05/22/2024,Expense,,Amazon,Supplies - G&A,20.54,,
,05/22/2024,Expense,,Amazon,Supplies - G&A,171.92,,
,05/18/2024,Expense,,Polymaker 3D Printing,Supplies - G&A,132.92,,
,05/17/2024,Expense,,Amazon,Supplies - G&A,234.91,,
,05/17/2024,Expense,,Amazon,Supplies - G&A,647.67,,
,05/15/2024,Expense,,Amazon,Supplies - G&A,80.76,,
,05/14/2024,Expense,,Amazon,Supplies - G&A,111.76,,
,05/10/2024,Expense,,Amazon,Supplies - G&A,26.28,,
,05/09/2024,Expense,,Amazon,Supplies - G&A,91.5,,
,05/08/2024,Expense,,Walmart,--Split--,38.91,,
,05/08/2024,Expense,,Amazon,Supplies - G&A,89.38,,
,05/08/2024,Expense,,Lowe's,Supplies - G&A,57.07,,
,05/08/2024,Expense,,Amazon,Supplies - G&A,112.45,,
,05/08/2024,Expense,,Amazon,Supplies - G&A,1079.09,,
,05/07/2024,Expense,,Amazon,Supplies - G&A,43.24,,
,05/07/2024,Expense,,Sam's Club,--Split--,105.13,,
,05/05/2024,Expense,,Amazon,Supplies - G&A,486.56,,
,05/04/2024,Expense,,Walmart,Supplies - G&A,36.64,,
,05/03/2024,Expense,,Amazon,Supplies - G&A,45.36,,
,05/03/2024,Credit Card Credit,,Amazon,--Split--,-64.86,,
,05/03/2024,Expense,,Amazon,Supplies - G&A,11.88,,
,05/02/2024,Expense,,Home Depot,Supplies - G&A,14.79,,
,05/02/2024,Expense,,Amazon,Supplies - G&A,16.1,,
,05/02/2024,Expense,,Amazon,Supplies - G&A,45.08,,
,05/02/2024,Expense,,Amazon,Supplies - G&A,171.92,,
,05/02/2024,Expense,,Amazon,Supplies - G&A,14.61,,
,05/02/2024,Expense,,Amazon,Supplies - G&A,48.5,,
,05/02/2024,Expense,,Amazon,Supplies - G&A,13.27,,
,05/02/2024,Expense,,Amazon,Supplies - G&A,20.31,,
,05/01/2024,Expense,,Amazon,--Split--,137.96,,
,05/01/2024,Expense,,Amazon,Supplies - G&A,8.21,,
,05/01/2024,Expense,,Amazon,Supplies - G&A,43.22,,
,04/29/2024,Expense,,Amazon,Supplies - G&A,22.68,,
,04/25/2024,Credit Card Credit,,Amazon,--Split--,-2.38,,
,04/25/2024,Expense,,Amazon,--Split--,57.3,,
,04/25/2024,Expense,,Amazon,--Split--,210.44,,
,04/25/2024,Expense,,Amazon,--Split--,36.81,,
,04/25/2024,Expense,,Amazon,--Split--,86.38,,
,04/23/2024,Expense,,Amazon,--Split--,17.1,,
,04/23/2024,Expense,,Amazon,--Split--,58.22,,
,04/23/2024,Expense,,Amazon,--Split--,7.14,,
,04/22/2024,Expense,,Amazon,--Split--,135.21,,
,03/19/2025,Expense,,CA FTB (Franchise Tax Board),State Taxes Paid,902.17,,
,03/19/2025,Expense,,CA FTB (Franchise Tax Board),State Taxes Paid,800,,
,11/24/2024,Expense,,CA FTB (Franchise Tax Board),State Taxes Paid,952.25,,
,03/21/2025,Expense,,Square Invoice FEE,Square Fees,225,,
,11/01/2024,Expense,,Square Invoice FEE,Square Fees,20,,
,10/02/2024,Expense,,Square Invoice FEE,Square Fees,20,,
,09/25/2024,Expense,,Square Invoice FEE,Square Fees,20,,
,09/01/2024,Expense,,Square Invoice FEE,Square Fees,20,,
,08/02/2024,Expense,,Square Invoice FEE,Square Fees,20,,
,07/02/2024,Expense,,Square Invoice FEE,Square Fees,20,,
,06/02/2024,Expense,,Square Invoice FEE,Square Fees,20,,
,05/30/2024,Expense,,Square Invoice FEE,Square Fees,20,,
,01/25/2025,Expense,,Qualiphy,Software Fees,27.99,,
,01/23/2025,Expense,,Qualiphy,Software Fees,27.99,,
,01/03/2025,Expense,,Qualiphy,Software Fees,27.99,,
,12/20/2024,Expense,,Qualiphy,Software Fees,27.99,,
,12/13/2024,Expense,,Qualiphy,Software Fees,27.99,,
,12/12/2024,Expense,,Qualiphy,Software Fees,27.99,,
,12/10/2024,Expense,,Qualiphy,Software Fees,27.99,,
,12/10/2024,Expense,,Qualiphy,Software Fees,27.99,,
,12/06/2024,Expense,,Qualiphy,Software Fees,27.99,,
,11/22/2024,Expense,,Qualiphy,Software Fees,27.99,,
,11/22/2024,Expense,,Qualiphy,Software Fees,27.99,,
,11/21/2024,Expense,,Qualiphy,Software Fees,27.99,,
,11/21/2024,Expense,,Qualiphy,Software Fees,27.99,,
,11/08/2024,Expense,,Qualiphy,Software Fees,27.99,,
,10/18/2024,Expense,,Qualiphy,Software Fees,27.99,,
,10/18/2024,Expense,,Qualiphy,Software Fees,27.99,,
,10/17/2024,Expense,,Qualiphy,Software Fees,27.99,,
,10/17/2024,Expense,,Qualiphy,Software Fees,27.99,,
,09/25/2024,Expense,,Qualiphy,Software Fees,27.99,,
,09/10/2024,Expense,,Qualiphy,Software Fees,27.99,,
,08/24/2024,Expense,,Qualiphy,Software Fees,27.99,,
,08/23/2024,Expense,,Qualiphy,Software Fees,27.99,,
,08/23/2024,Expense,,Qualiphy,Software Fees,27.99,,
,08/22/2024,Expense,,Qualiphy,Software Fees,27.99,,
,08/22/2024,Expense,,Qualiphy,Software Fees,27.99,,
,08/22/2024,Expense,,Qualiphy,Software Fees,27.99,,
,08/21/2024,Expense,,Qualiphy,Software Fees,27.99,,
,08/20/2024,Expense,,Qualiphy,Software Fees,27.99,,
,08/20/2024,Expense,,Qualiphy,Software Fees,27.99,,
,08/06/2024,Expense,,Qualiphy,Software Fees,27.99,,
,08/02/2024,Expense,,Qualiphy,Software Fees,27.99,,
,07/19/2024,Expense,,Qualiphy,Software Fees,27.99,,
,07/19/2024,Expense,,Qualiphy,Software Fees,27.99,,
,07/16/2024,Expense,,Qualiphy,Software Fees,27.99,,
,07/16/2024,Expense,,Qualiphy,Software Fees,27.99,,
,06/15/2024,Expense,,SquareSpace,Software Fees,61,,
,05/15/2024,Expense,,SquareSpace,Software Fees,61,,
,05/08/2024,Expense,,Qualiphy,Software Fees,27.99,,
,05/08/2024,Expense,,Qualiphy,Software Fees,27.99,,
,05/08/2024,Expense,,Qualiphy,Software Fees,27.99,,
,05/01/2024,Expense,,Qualiphy,Software Fees,27.99,,
,03/26/2025,Expense,,Bankcard Deposit(or Chargeback),Sales - Loc#2 Napa,50,,
,01/29/2025,Expense,,Cherry,Sales - Loc#1 Vacaville,1289.25,,
,09/03/2024,Expense,,Bankcard Deposit(or Chargeback),Sales - Loc#1 Vacaville,531.47,,
,08/23/2024,Expense,,Cherry,Sales - Loc#1 Vacaville,450.5,,
,07/30/2024,Credit Card Credit,,Amazon,--Split--,-55.34,,
,07/29/2024,Expense,,Bankcard Deposit(or Chargeback),Sales - Loc#1 Vacaville,47.55,,
,05/31/2024,Expense,,Bankcard Deposit(or Chargeback),Sales - Loc#1 Vacaville,386.5,,
,05/28/2024,Expense,,Bankcard Deposit(or Chargeback),Sales - Loc#1 Vacaville,151.78,,
,04/15/2025,Expense,,Structured Pest Supplies,Repair & Maintenance,75,,
,03/26/2025,Expense,,CleanWorks Agency,Repair & Maintenance,800,,
,03/18/2025,Expense,,Structured Pest Supplies,Repair & Maintenance,75,,
,03/03/2025,Check,1009,CleanWorks Agency,Repair & Maintenance,800,,
,02/26/2025,Check,1008,,Repair & Maintenance,1200,,
,02/18/2025,Expense,,Structured Pest Supplies,Repair & Maintenance,75,,
,01/29/2025,Check,1007,CleanWorks Agency,Repair & Maintenance,800,,
,01/28/2025,Expense,,Structured Pest Supplies,Repair & Maintenance,75,,
,12/30/2024,Check,1005,CleanWorks Agency,Repair & Maintenance,800,,
,12/17/2024,Expense,,Structured Pest Supplies,Repair & Maintenance,75,,
,12/05/2024,Expense,,,--Split--,309,,
,11/19/2024,Expense,,Structured Pest Supplies,Repair & Maintenance,75,,
,11/18/2024,Check,1001,SL Pressure Washing,Repair & Maintenance,1100,,
,11/04/2024,Expense,,,--Split--,1134,,
,11/04/2024,Expense,,Cantelli's Locksmith,Repair & Maintenance,636,,
,10/15/2024,Expense,,Structured Pest Supplies,Repair & Maintenance,75,,
,09/28/2024,Expense,,Structured Pest Supplies,Repair & Maintenance,75,,
,08/28/2024,Expense,,Structured Pest Supplies,Repair & Maintenance,75,,
,07/30/2024,Expense,,Structured Pest Supplies,Repair & Maintenance,75,,
,06/29/2024,Expense,,Structured Pest Supplies,Repair & Maintenance,75,,
,05/30/2024,Expense,,Structured Pest Supplies,Repair & Maintenance,75,,
,04/30/2024,Expense,,Structured Pest Supplies,Repair & Maintenance,75,,
,04/03/2025,Check,137,Ponce & Assoc Realty,Rent,3400,,
,03/04/2025,Check,135,Ponce & Assoc Realty,Rent,3400,,
,03/03/2025,Expense,,EverJune Intercompany,Rent,13500,,
,02/06/2025,Check,136,Ponce & Assoc Realty,Rent,3570,,
,01/07/2025,Check,146,Ponce & Assoc Realty,Rent,3400,,
,12/04/2024,Check,131,Ponce & Assoc Realty,Rent,3400,,
,11/25/2024,Check,1003,Clean Power Reserach LLC,Rent,8000,,
,11/06/2024,Check,128,Ponce & Assoc Realty,Rent,3400,,
,10/07/2024,Check,110,Ponce & Assoc Realty,Rent,3400,,
,09/06/2024,Check,125,Ponce & Assoc Realty,Rent,3400,,
,08/06/2024,Check,127,Ponce & Assoc Realty,Rent,3400,,
,07/05/2024,Check,119,Ponce & Assoc Realty,Rent,3400,,
,06/05/2024,Check,120,Ponce & Assoc Realty,Rent,3400,,
,05/07/2024,Check,121,Ponce & Assoc Realty,Rent,3400,,
,04/10/2025,Expense,,Michael Pickett,Postage & Shipping,200,,
,03/31/2025,Expense,,Michael Pickett,Postage & Shipping,1170,,
,03/03/2025,Expense,,Michael Pickett,Postage & Shipping,2050,,
,02/19/2025,Expense,,Michael Pickett,Postage & Shipping,1057,,
,01/28/2025,Expense,,Michael Pickett,Postage & Shipping,265,,
,01/22/2025,Expense,,Michael Pickett,Postage & Shipping,982,,
,01/16/2025,Expense,,Michael Pickett,Postage & Shipping,363,,
,01/13/2025,Expense,,Michael Pickett,Postage & Shipping,216,,
,01/02/2025,Expense,,Michael Pickett,Postage & Shipping,913,,
,12/26/2024,Expense,,Michael Pickett,Postage & Shipping,175,,
,12/16/2024,Expense,,Michael Pickett,Postage & Shipping,675,,
,12/10/2024,Expense,,Michael Pickett,Postage & Shipping,563,,
,12/04/2024,Expense,,Michael Pickett,Postage & Shipping,560,,
,11/15/2024,Expense,,Michael Pickett,Postage & Shipping,642,,
,11/04/2024,Expense,,Michael Pickett,Postage & Shipping,1143,,
,10/23/2024,Expense,,Michael Pickett,Postage & Shipping,575,,
,10/15/2024,Expense,,Michael Pickett,Postage & Shipping,199,,
,10/10/2024,Expense,,FedEx,--Split--,16.21,,
,10/07/2024,Expense,,Michael Pickett,Postage & Shipping,339,,
,10/02/2024,Expense,,Michael Pickett,Postage & Shipping,327,,
,09/23/2024,Expense,,Michael Pickett,Postage & Shipping,861,,
,09/12/2024,Expense,,FedEx,--Split--,28.25,,
,09/09/2024,Expense,,Michael Pickett,Postage & Shipping,525,,
,09/03/2024,Expense,,Michael Pickett,Postage & Shipping,550,,
,08/21/2024,Expense,,Michael Pickett,Postage & Shipping,295,,
,08/16/2024,Expense,,Michael Pickett,Postage & Shipping,215,,
,08/10/2024,Expense,,FedEx,Postage & Shipping,2.27,,
,08/09/2024,Expense,,FedEx,--Split--,1.72,,
,08/08/2024,Expense,,Michael Pickett,Postage & Shipping,525,,
,07/31/2024,Expense,,Michael Pickett,Postage & Shipping,430,,
,07/25/2024,Expense,,Michael Pickett,Postage & Shipping,330,,
,07/24/2024,Expense,,Michael Pickett,Postage & Shipping,417,,
,07/12/2024,Expense,,Michael Pickett,Postage & Shipping,209,,
,07/05/2024,Expense,,Michael Pickett,Postage & Shipping,671,,
,06/28/2024,Expense,,Michael Pickett,Postage & Shipping,354,,
,06/24/2024,Expense,,Michael Pickett,Postage & Shipping,498,,
,06/17/2024,Expense,,Michael Pickett,Postage & Shipping,133,,
,06/13/2024,Expense,,Michael Pickett,Postage & Shipping,280,,
,06/10/2024,Expense,,Michael Pickett,Postage & Shipping,755.69,,
,06/03/2024,Expense,,Michael Pickett,Postage & Shipping,290,,
,05/28/2024,Expense,,Michael Pickett,Postage & Shipping,900,,
,05/21/2024,Expense,,Michael Pickett,Postage & Shipping,405,,
,04/29/2024,Expense,,Michael Pickett,Postage & Shipping,652.47,,
,04/14/2025,Expense,,Next Insurance (work comp),Work Comp Ins,246.32,,
,03/31/2025,Expense,,Next Insurance (work comp),Work Comp Ins,231.53,,
,03/17/2025,Expense,,Next Insurance (work comp),Work Comp Ins,226.55,,
,03/03/2025,Expense,,Next Insurance (work comp),Work Comp Ins,225.9,,
,02/18/2025,Expense,,Next Insurance (work comp),Work Comp Ins,219.82,,
,02/03/2025,Expense,,Next Insurance (work comp),Work Comp Ins,212.71,,
,01/21/2025,Expense,,Next Insurance (work comp),Work Comp Ins,103.34,,
,01/06/2025,Expense,,Next Insurance (work comp),Work Comp Ins,68.82,,
,12/30/2024,Expense,,Next Insurance (work comp),Work Comp Ins,174.15,,
,12/23/2024,Expense,,Next Insurance (work comp),Work Comp Ins,172.5,,
,12/02/2024,Expense,,Next Insurance (work comp),Work Comp Ins,184.24,,
,11/25/2024,Expense,,Next Insurance (work comp),Work Comp Ins,148.65,,
,11/12/2024,Expense,,Next Insurance (work comp),Work Comp Ins,148.44,,
,10/28/2024,Expense,,Next Insurance (work comp),Work Comp Ins,151.72,,
,10/15/2024,Expense,,Next Insurance (work comp),Work Comp Ins,172.8,,
,09/30/2024,Expense,,Next Insurance (work comp),Work Comp Ins,135.66,,
,09/16/2024,Expense,,Next Insurance (work comp),Work Comp Ins,155.73,,
,09/03/2024,Expense,,Next Insurance (work comp),Work Comp Ins,141.09,,
,08/19/2024,Expense,,Next Insurance (work comp),Work Comp Ins,159.6,,
,08/05/2024,Expense,,Next Insurance (work comp),Work Comp Ins,149.58,,
,07/22/2024,Expense,,Next Insurance (work comp),Work Comp Ins,142.01,,
,07/08/2024,Expense,,Next Insurance (work comp),Work Comp Ins,130.79,,
,06/24/2024,Expense,,Next Insurance (work comp),Work Comp Ins,118.46,,
,06/10/2024,Expense,,Next Insurance (work comp),Work Comp Ins,123.15,,
,05/28/2024,Expense,,Next Insurance (work comp),Work Comp Ins,146.17,,
,05/13/2024,Expense,,Next Insurance (work comp),Work Comp Ins,115.61,,
,05/06/2024,Expense,,Next Insurance (work comp),Work Comp Ins,39.33,,
,04/29/2024,Expense,,Next Insurance (work comp),Work Comp Ins,103.98,,
,06/17/2024,Expense,,Martes Marilyn,Salaries & Wages - G&A,775.52,,
,06/14/2024,Expense,,Martes Marilyn,Salaries & Wages - G&A,1000,,
,06/12/2024,Expense,,Martes Marilyn,Salaries & Wages - G&A,1000,,
,04/03/2025,Expense,,Gusto FEE,Payroll Processing Fees,163,,
,04/01/2025,Expense,,Square PR FEE,Payroll Processing Fees,35,,
,03/05/2025,Expense,,Gusto FEE,Payroll Processing Fees,148,,
,03/01/2025,Expense,,Square PR FEE,Payroll Processing Fees,35,,
,02/05/2025,Expense,,Gusto FEE,Payroll Processing Fees,253,,
,02/01/2025,Expense,,Square PR FEE,Payroll Processing Fees,35,,
,01/06/2025,Expense,,Gusto FEE,Payroll Processing Fees,154,,
,01/01/2025,Expense,,Square PR FEE,Payroll Processing Fees,35,,
,12/03/2024,Expense,,Gusto FEE,Payroll Processing Fees,142,,
,12/01/2024,Expense,,Square PR FEE,Payroll Processing Fees,35,,
,11/05/2024,Expense,,Gusto FEE,Payroll Processing Fees,130,,
,11/01/2024,Expense,,Square PR FEE,Payroll Processing Fees,35,,
,11/01/2024,Expense,,Square PR FEE,Payroll Processing Fees,35,,
,10/21/2024,Expense,,Square PR FEE,Payroll Processing Fees,35,,
,10/03/2024,Expense,,Gusto FEE,Payroll Processing Fees,124,,
,10/02/2024,Expense,,Square PR FEE,Payroll Processing Fees,35,,
,09/19/2024,Expense,,Gusto FEE,Payroll Processing Fees,100,,
,09/05/2024,Expense,,Gusto FEE,Payroll Processing Fees,112,,
,09/01/2024,Expense,,Square PR FEE,Payroll Processing Fees,35,,
,08/05/2024,Expense,,Gusto FEE,Payroll Processing Fees,118,,
,08/02/2024,Expense,,Square PR FEE,Payroll Processing Fees,35,,
,07/03/2024,Expense,,Gusto FEE,Payroll Processing Fees,112,,
,06/05/2024,Expense,,Gusto FEE,Payroll Processing Fees,106,,
,05/03/2024,Expense,,Gusto FEE,Payroll Processing Fees,94,,
,01/03/2025,Expense,,Gusto PR Tax,Employer Payroll Taxes,206.11,,
,01/03/2025,Expense,,Gusto PR Tax,Employer Payroll Taxes,70.98,,
,01/03/2025,Expense,,Gusto PR Tax,Employer Payroll Taxes,314.98,,
,09/19/2024,Expense,,Gusto PR Tax,Employer Payroll Taxes,7657.64,,
,09/05/2024,Expense,,Gusto PR Tax,Employer Payroll Taxes,125.95,,
,04/10/2025,Expense,,,Employee Benefits - Retirement,471.92,,
,03/25/2025,Expense,,,Employee Benefits - Retirement,500.02,,
,03/11/2025,Expense,,,Employee Benefits - Retirement,180,,
,03/10/2025,Expense,,,Employee Benefits - Retirement,300.14,,
,02/28/2025,Expense,,,Employee Benefits - Retirement,3137.68,,
